id	prompt	entry_point	canonical_solution	test_code
Natural2Code/0	"Please complete the following python function, with only one solution and no explanation and no example usage:
from typing import List

def max_min_range_difference(nums: List[int], l: int, r: int) -> int:
    """"""Given a list of integers and two integers l and r (where l <= r), return the difference between the maximum 'Max' and the minimum 'Min' values such that l <= Min, Max <= r.
    Return -1 if there is no values in the given range.
    For example:
    max_min_range_difference([5, 3, 2, 7, 9, 14], 5, 10) == 4
    """"""
"	max_min_range_difference	"    Min = max(nums) + 1
    Max = -Min
    for num in nums:
        if num >= l and num <= r:
            Min = min(Min, num)
            Max = max(Max, num)
    if Max < Min:
      return -1
    return Max - Min
"	"assert max_min_range_difference([2, 3, 5, 7], 1, 10) == 5
assert max_min_range_difference([5, 12, 3, 14, 27], 7, 10) == -1
assert max_min_range_difference([45, 14, 12], 10, 50) == 33
assert max_min_range_difference([100, 200, 400, 600], 150, 490) == 200
assert max_min_range_difference([8, 14, 17, 5], 10, 15) == 0"
Natural2Code/1	"Please complete the following python function, with only one solution and no explanation and no example usage:
def valid_people_lines(arr : list[int] ) -> bool:
    """"""Given a list of integers arr, each interger of the list represent the number of persons ahead in the line of this index person's line.Return True if the list is consistent else return False. Notice that there can be multiple lines in total.
       For example:
       valid_people_lines([0,1,0,1,2]) == True
    """"""
"	valid_people_lines	"    
    sz = len(arr)
    max_len_of_line = 0
    freq_arr = {}
    for x in  arr:
      max_len_of_line = max(max_len_of_line , x)
      if x in freq_arr:
        freq_arr[x] += 1
      else:
        freq_arr[x] = 1
    ans = True
    for x in range(max_len_of_line, 0, -1):
      if x in freq_arr:
        if x - 1 in freq_arr:
          if freq_arr[x] > freq_arr[x - 1]:
            ans = False
        else:
          ans = False
          break
    return ans
"	"assert valid_people_lines([3,1,0,2]) == True
assert valid_people_lines([4,5,0,1,2,0,2]) == False
assert valid_people_lines([0, 0, 0, 0, 1, 1, 1, 2, 2]) == True
assert valid_people_lines([0, 0, 2]) == False
assert valid_people_lines([0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 5, 6, 7, 0]) == True"
Natural2Code/2	"Please complete the following python function, with only one solution and no explanation and no example usage:
def mirror_list(nums: list[int]) -> list[int]:
    """"""Given a list of integers, replace the second half with a mirrored version of the first half.
    For example:
    mirror_list([1, 2, 3, 4]) == [1, 2, 2, 1]
    mirror_list([1, 2, 3]) == [1, 2, 1]
    """"""
"	mirror_list	"    for i in range(len(nums) // 2):
        nums[len(nums) -1 -i] = nums[i]
    return nums
"	"assert mirror_list([1, 2, 3, 14, 57, -90]) == [1, 2, 3, 3, 2, 1]
assert mirror_list([17, 28, 39, 4, 5]) == [17, 28, 39, 28, 17]
assert mirror_list([1]) == [1]
assert mirror_list([]) == []"
Natural2Code/3	"Please complete the following python function, with only one solution and no explanation and no example usage:
def prime_circle(n: int) -> list[list[int]]:
    """""" There are numbers from 1 to n, rearrange them in a circle such that the sum of any two adjacent numbers is a prime number, and the first number in the circle must be 2. Print all the possible arrangements.
    For example:
    prime_circle(6) == [[2, 3, 4, 1, 6, 5], [2, 5, 6, 1, 4, 3]]
    prime_circle(8) == [[2, 1, 4, 7, 6, 5, 8, 3], [2, 1, 6, 7, 4, 3, 8, 5], [2, 3, 8, 5, 6, 7, 4, 1], [2, 5, 8, 3, 4, 7, 6, 1]]
    """"""
"	prime_circle	"    if n < 2:
        return []

    def sieve():
        prime[0] = False
        prime[1] = False
        p = 2
        while (p * p <= sum_of_n):
            if (prime[p] == True):
                for i in range(p * p, sum_of_n + 1, p):
                    prime[i] = False
            p += 1

    def dfs(i: int, arr: list[int]):
        if i == n:
            if prime[arr[0] + arr[-1]]:
                ans.append(arr.copy())
            return

        for j in range(1, n + 1):
            if visited[j]:
                continue
            if prime[arr[-1] + j]:
                visited[j] = True
                arr.append(j)
                dfs(i + 1, arr)
                arr.pop()
                visited[j] = False

    sum_of_n = 2 * n
    prime = [True for _ in range(sum_of_n + 1)]
    sieve()

    ans = []
    visited = [False] * (n + 1)
    visited[2] = True
    dfs(1, [2])

    return ans
"	"assert prime_circle(1) == []
assert prime_circle(2) == [[2, 1]]
assert prime_circle(9) == []
assert prime_circle(4) == [[2, 1, 4, 3], [2, 3, 4, 1]]
assert prime_circle(10) == [[2, 1, 4, 3, 8, 5, 6, 7, 10, 9], [2, 1, 4, 3, 8, 9, 10, 7, 6, 5], [2, 1, 4, 3, 10, 7, 6, 5, 8, 9], [2, 1, 4, 7, 6, 5, 8, 3, 10, 9], [2, 1, 4, 7, 6, 5, 8, 9, 10, 3], [2, 1, 4, 9, 8, 3, 10, 7, 6, 5], [2, 1, 4, 9, 8, 5, 6, 7, 10, 3], [2, 1, 4, 9, 10, 7, 6, 5, 8, 3], [2, 1, 6, 5, 8, 3, 4, 7, 10, 9], [2, 1, 6, 5, 8, 3, 10, 7, 4, 9], [2, 1, 6, 5, 8, 9, 4, 7, 10, 3], [2, 1, 6, 5, 8, 9, 10, 7, 4, 3], [2, 1, 6, 7, 4, 3, 10, 9, 8, 5], [2, 1, 6, 7, 4, 9, 10, 3, 8, 5], [2, 1, 6, 7, 10, 3, 4, 9, 8, 5], [2, 1, 6, 7, 10, 9, 4, 3, 8, 5], [2, 1, 10, 3, 4, 7, 6, 5, 8, 9], [2, 1, 10, 3, 8, 5, 6, 7, 4, 9], [2, 1, 10, 3, 8, 9, 4, 7, 6, 5], [2, 1, 10, 7, 6, 5, 8, 3, 4, 9], [2, 1, 10, 7, 6, 5, 8, 9, 4, 3], [2, 1, 10, 9, 4, 7, 6, 5, 8, 3], [2, 1, 10, 9, 8, 3, 4, 7, 6, 5], [2, 1, 10, 9, 8, 5, 6, 7, 4, 3], [2, 3, 4, 1, 6, 7, 10, 9, 8, 5], [2, 3, 4, 1, 10, 7, 6, 5, 8, 9], [2, 3, 4, 7, 6, 1, 10, 9, 8, 5], [2, 3, 4, 7, 6, 5, 8, 9, 10, 1], [2, 3, 4, 7, 10, 1, 6, 5, 8, 9], [2, 3, 4, 7, 10, 9, 8, 5, 6, 1], [2, 3, 4, 9, 8, 5, 6, 7, 10, 1], [2, 3, 8, 5, 6, 1, 4, 7, 10, 9], [2, 3, 8, 5, 6, 1, 10, 7, 4, 9], [2, 3, 8, 5, 6, 7, 4, 1, 10, 9], [2, 3, 8, 5, 6, 7, 4, 9, 10, 1], [2, 3, 8, 5, 6, 7, 10, 1, 4, 9], [2, 3, 8, 5, 6, 7, 10, 9, 4, 1], [2, 3, 8, 9, 4, 1, 10, 7, 6, 5], [2, 3, 8, 9, 4, 7, 10, 1, 6, 5], [2, 3, 8, 9, 10, 1, 4, 7, 6, 5], [2, 3, 8, 9, 10, 7, 4, 1, 6, 5], [2, 3, 10, 1, 4, 7, 6, 5, 8, 9], [2, 3, 10, 1, 6, 7, 4, 9, 8, 5], [2, 3, 10, 7, 4, 1, 6, 5, 8, 9], [2, 3, 10, 7, 4, 9, 8, 5, 6, 1], [2, 3, 10, 7, 6, 1, 4, 9, 8, 5], [2, 3, 10, 7, 6, 5, 8, 9, 4, 1], [2, 3, 10, 9, 8, 5, 6, 7, 4, 1], [2, 5, 6, 1, 4, 7, 10, 3, 8, 9], [2, 5, 6, 1, 4, 7, 10, 9, 8, 3], [2, 5, 6, 1, 10, 7, 4, 3, 8, 9], [2, 5, 6, 1, 10, 7, 4, 9, 8, 3], [2, 5, 6, 7, 4, 1, 10, 3, 8, 9], [2, 5, 6, 7, 4, 1, 10, 9, 8, 3], [2, 5, 6, 7, 4, 3, 8, 9, 10, 1], [2, 5, 6, 7, 4, 9, 8, 3, 10, 1], [2, 5, 6, 7, 10, 1, 4, 3, 8, 9], [2, 5, 6, 7, 10, 1, 4, 9, 8, 3], [2, 5, 6, 7, 10, 3, 8, 9, 4, 1], [2, 5, 6, 7, 10, 9, 8, 3, 4, 1], [2, 5, 8, 3, 4, 1, 6, 7, 10, 9], [2, 5, 8, 3, 4, 7, 6, 1, 10, 9], [2, 5, 8, 3, 4, 9, 10, 7, 6, 1], [2, 5, 8, 3, 10, 1, 6, 7, 4, 9], [2, 5, 8, 3, 10, 7, 6, 1, 4, 9], [2, 5, 8, 3, 10, 9, 4, 7, 6, 1], [2, 5, 8, 9, 4, 1, 6, 7, 10, 3], [2, 5, 8, 9, 4, 3, 10, 7, 6, 1], [2, 5, 8, 9, 4, 7, 6, 1, 10, 3], [2, 5, 8, 9, 10, 1, 6, 7, 4, 3], [2, 5, 8, 9, 10, 3, 4, 7, 6, 1], [2, 5, 8, 9, 10, 7, 6, 1, 4, 3], [2, 9, 4, 1, 6, 7, 10, 3, 8, 5], [2, 9, 4, 1, 10, 7, 6, 5, 8, 3], [2, 9, 4, 3, 8, 5, 6, 7, 10, 1], [2, 9, 4, 7, 6, 1, 10, 3, 8, 5], [2, 9, 4, 7, 6, 5, 8, 3, 10, 1], [2, 9, 4, 7, 10, 1, 6, 5, 8, 3], [2, 9, 4, 7, 10, 3, 8, 5, 6, 1], [2, 9, 8, 3, 4, 1, 10, 7, 6, 5], [2, 9, 8, 3, 4, 7, 10, 1, 6, 5], [2, 9, 8, 3, 10, 1, 4, 7, 6, 5], [2, 9, 8, 3, 10, 7, 4, 1, 6, 5], [2, 9, 8, 5, 6, 1, 4, 7, 10, 3], [2, 9, 8, 5, 6, 1, 10, 7, 4, 3], [2, 9, 8, 5, 6, 7, 4, 1, 10, 3], [2, 9, 8, 5, 6, 7, 4, 3, 10, 1], [2, 9, 8, 5, 6, 7, 10, 1, 4, 3], [2, 9, 8, 5, 6, 7, 10, 3, 4, 1], [2, 9, 10, 1, 4, 7, 6, 5, 8, 3], [2, 9, 10, 1, 6, 7, 4, 3, 8, 5], [2, 9, 10, 3, 8, 5, 6, 7, 4, 1], [2, 9, 10, 7, 4, 1, 6, 5, 8, 3], [2, 9, 10, 7, 4, 3, 8, 5, 6, 1], [2, 9, 10, 7, 6, 1, 4, 3, 8, 5], [2, 9, 10, 7, 6, 5, 8, 3, 4, 1]]"
Natural2Code/4	"Please complete the following python function, with only one solution and no explanation and no example usage:
def convert_string(string: str) -> str:
    """"""
    Given a string 's' consisting of both uppercase and lowercase letters. Your task is to determine if the number of
    lowercase letters in the string is greater than the number of uppercase letters. convert the entire string to
    lowercase. If the number of uppercase letters is greater, convert the entire string to uppercase. If the counts
    are equal, leave the string unchanged.
    The size of the given string is between '1' and '100000'

    For example:
        convert_string(""abcBBBC"") == ""ABCBBBC""
        convert_string(""abcDEFG"") == ""ABCDEFG""
        convert_string(""Qwerty"") == ""qwerty""
        convert_string(""YouaRE"") == ""YouaRE""
    """"""
"	convert_string	"    count_uppercase = 0
    count_lowercase = 0
    for character in string:
        if character.isupper():
            count_uppercase += 1
        else:
            count_lowercase += 1

    if count_uppercase > count_lowercase:
        string = string.upper()
    elif count_uppercase < count_lowercase:
        string = string.lower()

    return string
"	"assert convert_string(""HACK"") == ""HACK""
assert convert_string(""abc"") == ""abc""
assert convert_string(""nInJA"") == ""NINJA""
assert convert_string(""AbbBBA"") == ""ABBBBA""
assert convert_string(""abbbba"") == ""abbbba""
assert convert_string(""AaZZzzaa"") == ""aazzzzaa""
assert convert_string(""MMMdddMMM"") == ""MMMDDDMMM""
assert convert_string(""akakTOTO"") == ""akakTOTO"""
Natural2Code/5	"Please complete the following python function, with only one solution and no explanation and no example usage:
from typing import List
def calculate_nim_sum(piles: List[int]) -> int:
    """"""
    Calculate the Nim sum of a list of pile sizes in a Nim game.

    :param piles: A list of integers representing the sizes of piles.
    :return: The Nim sum of the pile sizes.
    
    For example:
    calculate_nim_sum([3, 4, 5]) == 2
    """"""
"	calculate_nim_sum	"
    nim_sum = 0
    for pile in piles:
        nim_sum ^= pile
    return nim_sum
"	"assert calculate_nim_sum([3, 4, 5]) == 2
assert calculate_nim_sum([1, 1, 1]) == 1
assert calculate_nim_sum([2, 2, 2, 2]) == 0
assert calculate_nim_sum([9, 10, 11, 12, 13]) == 9
assert calculate_nim_sum([1, 2, 3, 4, 5, 6, 7]) == 0"
Natural2Code/6	"Please complete the following python function, with only one solution and no explanation and no example usage:
def compress(string: str) -> str:
    """"""
    You are given a string consisting of lowercase latin letters. Your task is to apply a compression algorithm known
    as Run-Length Encoding (RLE) to represent consecutive character runs more efficiently. If the compressed
    representation is shorter than the original, return the compressed version; otherwise, return the original string.
    Examples for Run-Length Encoding algorithm: ""aaabbbccc"" -> ""a3b3c3"" , ""abcde"" -> ""a1b1c1d1e1""

    Examples:
        compress(""iiitt"") -> i3t2
        compress(""eeeee"") -> e5
        compress(""bbbmm"") -> b3m2
        compress(""abcdef"") -> abcdef
        compress(""aaaaaaaaaaaaaaaa"") -> a16
    """"""
"	compress	"    compressed_string = []
    current_character = string[0]
    count_character = 1
    n = len(string)
    for i in range(1, n):
        if string[i] == current_character:
            count_character += 1
        else:
            compressed_string.append(current_character + str(count_character))
            current_character = string[i]
            count_character = 1
    compressed_string.append(current_character + str(count_character))
    compressed_string2 = ''.join(compressed_string)
    if len(compressed_string2) < len(string):
        return compressed_string2
    else:
        return string
"	"assert compress(""yyuuiioopp"") == ""yyuuiioopp""
assert compress(""yyyuuiioopp"") == ""y3u2i2o2p2""
assert compress(""mooooom"") == ""m1o5m1""
assert compress(""qqqwqerty"") == ""qqqwqerty""
assert compress(""rreeqsqssttt"") == ""rreeqsqssttt""
assert compress(""uuuuuu"") == ""u6""
assert compress(""pooooooorle"") == ""p1o7r1l1e1"""
Natural2Code/7	"Please complete the following python function, with only one solution and no explanation and no example usage:
def Topological(graph, n):
  """"""
  Given a directed graph, return the topological sort of the graph.
  """"""
"	Topological	"  vis = [False] * (n + 1)

  topo = []  

  temp = []

  for i in range(1, n + 1):
    temp.append(i)

  graph.update({0: temp})

  def dfs(node):
    if vis[node] == True:
      return

    vis[node] = True

    for u in graph[node]:
      if vis[u] == True:
        continue
      
      dfs(u)
    
    topo.append(node)
  
  dfs(0)
  topo.reverse()
  topo.pop(0)
  
  return topo
"	"assert Topological({1: [3], 2: [3], 3: []}, 3) == [2, 1, 3]
assert Topological({1: [2, 3], 2: [3], 3: []}, 3) == [1, 2, 3]
assert Topological({1: [2, 3], 2: [3, 4], 3: [4], 4: []}, 4) == [1, 2, 3, 4]
assert Topological({1: [2], 2: [3, 4], 3: [], 4: []}, 4) == [1, 2, 4, 3]
assert Topological({1: [], 2: [3, 4], 3: [], 4: []}, 4) == [2, 4, 3, 1]"
Natural2Code/8	"Please complete the following python function, with only one solution and no explanation and no example usage:
def are_points_collinear(point1, point2, point3):
    """"""
    Check if three points are collinear (lie on the same straight line).
    For example:
    are_points_collinear((1, 1), (2, 2), (3, 3)) == True
    """"""
"	are_points_collinear	"    x1, y1 = point1
    x2, y2 = point2
    x3, y3 = point3
    return (x1 * (y2 - y3) + x2 * (y3 - y1) + x3 * (y1 - y2)) == 0
"	"assert are_points_collinear((0, 0), (1, 1), (2, 2)) == True  
assert are_points_collinear((0, 0), (1, 1), (-1, -1)) == True  
assert are_points_collinear((0, 0), (1, 2), (2, 4)) == True  
assert are_points_collinear((1, 1), (2, 2), (3, 4)) == False 
assert are_points_collinear((1, 1), (2, 3), (3, 5)) == True"
Natural2Code/9	"Please complete the following python function, with only one solution and no explanation and no example usage:
def calculate_cumulative_sum(lst):
    """"""
    calculate the cumulative sum of elements in a list
    For example:
    calculate_cumulative_sum([1, 2, 3, 4, 5]) == [1, 3, 6, 10, 15]
    calculate_cumulative_sum([0, 2, -2, 4, -4]) == [0, 2, 0, 4, 0]
    """"""
"	calculate_cumulative_sum	"    cumulative_sum = 0
    cumulative_sum_list = []

    for num in lst:
        cumulative_sum += num
        cumulative_sum_list.append(cumulative_sum)

    return cumulative_sum_list
"	"
assert calculate_cumulative_sum([1, 2, 3, 4, 5]) == [1, 3, 6, 10, 15]
assert calculate_cumulative_sum([0, 2, -2, 4, -4]) == [0, 2, 0, 4, 0]
assert calculate_cumulative_sum([]) == []
assert calculate_cumulative_sum([1]) == [1]
assert calculate_cumulative_sum([-1, -2, -3, -4, -5]) == [-1, -3, -6, -10, -15]
assert calculate_cumulative_sum([1, 1, 1, 1, 1, 1, 1, 1, 1]) == [1, 2, 3, 4, 5, 6, 7, 8, 9]"
